	cluster	name1
85	1	TCGA-EB-A41A
86	1	TCGA-FS-A1ZQ
87	1	TCGA-EE-A2GD
88	2	TCGA-ER-A19T
89	5	TCGA-FR-A726
90	1	TCGA-W3-A825
91	1	TCGA-XV-AB01
92	1	TCGA-GN-A8LL
93	1	TCGA-BF-AAP7
94	1	TCGA-EB-A82C
95	5	TCGA-ER-A19Q
96	1	TCGA-BF-A5EO
97	3	TCGA-DA-A95X
98	1	TCGA-EE-A2GT
99	1	TCGA-EB-A5UM
100	1	TCGA-EE-A20I
101	1	TCGA-D3-A2J7
102	1	TCGA-FW-A3TV
103	5	TCGA-DA-A1IC
104	3	TCGA-EB-A3XE
105	1	TCGA-3N-A9WC
106	1	TCGA-QB-AA9O
107	1	TCGA-EE-A20B
108	3	TCGA-D3-A3C7
109	1	TCGA-GN-A267
110	1	TCGA-ER-A19J
111	1	TCGA-RP-A6K9
112	2	TCGA-ER-A3PL
113	1	TCGA-D9-A1X3
114	1	TCGA-DA-A95W
115	1	TCGA-EE-A3AB
116	4	TCGA-RP-A690
117	7	TCGA-D3-A1Q1
118	1	TCGA-FS-A1Z0
119	1	TCGA-FS-A1YW
120	3	TCGA-EB-A4OZ
121	1	TCGA-ER-A1A1
122	5	TCGA-FW-A5DX
123	1	TCGA-DA-A1I1
124	1	TCGA-EE-A29X
125	2	TCGA-EB-A4IQ
126	7	TCGA-FR-A728
127	5	TCGA-EB-A3HV
128	1	TCGA-D3-A1QB
129	7	TCGA-D3-A2J6
130	5	TCGA-EB-A85I
131	1	TCGA-EE-A2MR
132	1	TCGA-EE-A2M6
133	1	TCGA-FS-A1ZT
134	3	TCGA-WE-A8JZ
135	3	TCGA-ER-A2ND
136	4	TCGA-FS-A1ZC
137	1	TCGA-EE-A2MS
138	4	TCGA-EB-A51B
139	5	TCGA-FS-A4F0
140	5	TCGA-WE-A8K4
141	1	TCGA-D3-A51T
142	3	TCGA-BF-A1PZ
143	1	TCGA-FR-A3R1
144	5	TCGA-FS-A4FB
145	1	TCGA-EE-A29D
146	1	TCGA-EB-A85J
147	3	TCGA-BF-AAOX
148	7	TCGA-EE-A3J7
149	1	TCGA-EB-A24D
150	1	TCGA-D3-A3CE
151	2	TCGA-D3-A8GP
152	1	TCGA-D3-A1Q4
153	4	TCGA-DA-A95Z
154	7	TCGA-XV-A9W5
155	1	TCGA-D3-A3CF
156	5	TCGA-EE-A2GO
157	4	TCGA-HR-A5NC
158	3	TCGA-D3-A5GU
159	1	TCGA-ER-A19O
160	1	TCGA-BF-AAOU
161	5	TCGA-EE-A20H
162	1	TCGA-EE-A2MC
163	7	TCGA-EE-A29W
164	1	TCGA-EE-A29P
165	1	TCGA-DA-A1HY
166	1	TCGA-EE-A2MF
167	5	TCGA-BF-A5ER
168	2	TCGA-W3-AA1O
169	1	TCGA-OD-A75X
170	1	TCGA-EE-A2GP
171	1	TCGA-D3-A2JA
172	1	TCGA-BF-A5EQ
173	1	TCGA-WE-A8ZX
174	3	TCGA-ER-A3EV
175	5	TCGA-ER-A197
176	1	TCGA-EE-A3J5
177	6	TCGA-IH-A3EA
178	1	TCGA-YG-AA3N
179	1	TCGA-ER-A19P
180	1	TCGA-BF-A1PV
181	1	TCGA-EB-A4OY
182	3	TCGA-GN-A4U9
183	2	TCGA-YG-AA3P
184	1	TCGA-D3-A2JD
185	7	TCGA-EE-A29A
186	1	TCGA-EE-A2A0
187	1	TCGA-ER-A19F
188	1	TCGA-ER-A195
189	7	TCGA-D3-A3C6
190	2	TCGA-WE-A8ZN
191	5	TCGA-GN-A263
192	2	TCGA-FR-A69P
193	1	TCGA-EE-A3JD
194	7	TCGA-XV-AAZV
195	1	TCGA-EB-A3XD
196	3	TCGA-D3-A1Q5
197	3	TCGA-RP-A695
198	4	TCGA-XV-AAZW
199	1	TCGA-D3-A51J
200	1	TCGA-BF-A3DJ
201	3	TCGA-EE-A3AH
202	3	TCGA-FS-A1ZR
203	1	TCGA-EE-A2MM
204	1	TCGA-D3-A2JO
205	2	TCGA-EE-A2GR
206	2	TCGA-BF-AAP1
207	3	TCGA-EE-A29Q
208	1	TCGA-EE-A2MN
209	3	TCGA-FS-A1ZG
210	1	TCGA-FS-A1ZW
211	1	TCGA-EE-A29C
212	1	TCGA-EE-A3AA
213	1	TCGA-EE-A3JH
214	1	TCGA-ER-A199
215	1	TCGA-EE-A29V
216	3	TCGA-EB-A97M
217	1	TCGA-HR-A2OH
218	1	TCGA-YD-A9TA
219	1	TCGA-DA-A1I0
220	3	TCGA-EE-A2MI
221	5	TCGA-EE-A29B
222	2	TCGA-GN-A4U7
223	1	TCGA-DA-A1I2
224	1	TCGA-D3-A2JC
225	1	TCGA-FW-A3R5
226	3	TCGA-EE-A2GS
227	3	TCGA-FW-A3I3
228	5	TCGA-EE-A29E
229	1	TCGA-EB-A551
230	1	TCGA-WE-A8ZR
231	2	TCGA-D9-A4Z6
232	1	TCGA-GN-A9SD
233	1	TCGA-EE-A2GC
234	1	TCGA-GN-A265
235	5	TCGA-BF-AAP8
236	1	TCGA-EE-A2M5
237	5	TCGA-FS-A4F5
238	1	TCGA-D3-A51E
239	7	TCGA-EB-A3XF
240	2	TCGA-EE-A29R
241	1	TCGA-D3-A8GQ
242	1	TCGA-D9-A4Z2
243	3	TCGA-FS-A4F4
244	1	TCGA-EE-A2A2
245	2	TCGA-DA-A1I7
246	2	TCGA-EE-A2A5
247	1	TCGA-WE-A8ZT
248	1	TCGA-EE-A3AC
249	5	TCGA-D3-A5GT
250	1	TCGA-FR-A3YN
251	1	TCGA-FS-A4F8
252	5	TCGA-D3-A8GK
